name	type	units	description	sampling_frequency	signal_electrode	reference	group	target_muscle	interelectrode_distance	low_cutoff	high_cutoff	status
Ch37	EMG	mV	monopolar EMG	2048.0	E037	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch38	EMG	mV	monopolar EMG	2048.0	E038	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch39	EMG	mV	monopolar EMG	2048.0	E039	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch40	EMG	mV	monopolar EMG	2048.0	E040	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch41	EMG	mV	monopolar EMG	2048.0	E041	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch42	EMG	mV	monopolar EMG	2048.0	E042	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch43	EMG	mV	monopolar EMG	2048.0	E043	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch44	EMG	mV	monopolar EMG	2048.0	E044	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch45	EMG	mV	monopolar EMG	2048.0	E045	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch46	EMG	mV	monopolar EMG	2048.0	E046	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch47	EMG	mV	monopolar EMG	2048.0	E047	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch48	EMG	mV	monopolar EMG	2048.0	E048	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch49	EMG	mV	monopolar EMG	2048.0	E049	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch50	EMG	mV	monopolar EMG	2048.0	E050	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch51	EMG	mV	monopolar EMG	2048.0	E051	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch52	EMG	mV	monopolar EMG	2048.0	E052	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch53	EMG	mV	monopolar EMG	2048.0	E053	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch54	EMG	mV	monopolar EMG	2048.0	E054	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch55	EMG	mV	monopolar EMG	2048.0	E055	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch56	EMG	mV	monopolar EMG	2048.0	E056	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch57	EMG	mV	monopolar EMG	2048.0	E057	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch58	EMG	mV	monopolar EMG	2048.0	E058	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch59	EMG	mV	monopolar EMG	2048.0	E059	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch60	EMG	mV	monopolar EMG	2048.0	E060	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch61	EMG	mV	monopolar EMG	2048.0	E061	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch62	EMG	mV	monopolar EMG	2048.0	E062	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch63	EMG	mV	monopolar EMG	2048.0	E063	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch64	EMG	mV	monopolar EMG	2048.0	E064	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch65	EMG	mV	monopolar EMG	2048.0	E065	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch66	EMG	mV	monopolar EMG	2048.0	E066	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch67	EMG	mV	monopolar EMG	2048.0	E067	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch68	EMG	mV	monopolar EMG	2048.0	E068	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch69	EMG	mV	monopolar EMG	2048.0	E069	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch70	EMG	mV	monopolar EMG	2048.0	E070	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch71	EMG	mV	monopolar EMG	2048.0	E071	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch72	EMG	mV	monopolar EMG	2048.0	E072	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch73	EMG	mV	monopolar EMG	2048.0	E073	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch74	EMG	mV	monopolar EMG	2048.0	E074	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch75	EMG	mV	monopolar EMG	2048.0	E075	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch76	EMG	mV	monopolar EMG	2048.0	E076	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch77	EMG	mV	monopolar EMG	2048.0	E077	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch78	EMG	mV	monopolar EMG	2048.0	E078	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch79	EMG	mV	monopolar EMG	2048.0	E079	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch80	EMG	mV	monopolar EMG	2048.0	E080	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch81	EMG	mV	monopolar EMG	2048.0	E081	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch82	EMG	mV	monopolar EMG	2048.0	E082	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch83	EMG	mV	monopolar EMG	2048.0	E083	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch84	EMG	mV	monopolar EMG	2048.0	E084	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch85	EMG	mV	monopolar EMG	2048.0	E085	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch86	EMG	mV	monopolar EMG	2048.0	E086	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch87	EMG	mV	monopolar EMG	2048.0	E087	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch88	EMG	mV	monopolar EMG	2048.0	E088	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch89	EMG	mV	monopolar EMG	2048.0	E089	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch90	EMG	mV	monopolar EMG	2048.0	E090	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch91	EMG	mV	monopolar EMG	2048.0	E091	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch92	EMG	mV	monopolar EMG	2048.0	E092	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch93	EMG	mV	monopolar EMG	2048.0	E093	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch94	EMG	mV	monopolar EMG	2048.0	E094	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch95	EMG	mV	monopolar EMG	2048.0	E095	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch96	EMG	mV	monopolar EMG	2048.0	E096	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch97	EMG	mV	monopolar EMG	2048.0	E097	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch98	EMG	mV	monopolar EMG	2048.0	E098	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch99	EMG	mV	monopolar EMG	2048.0	E099	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch100	EMG	mV	monopolar EMG	2048.0	E100	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch101	EMG	mV	monopolar EMG	2048.0	E101	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch102	EMG	mV	monopolar EMG	2048.0	E102	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch103	EMG	mV	monopolar EMG	2048.0	E103	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch104	EMG	mV	monopolar EMG	2048.0	E104	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch105	EMG	mV	monopolar EMG	2048.0	E105	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch106	EMG	mV	monopolar EMG	2048.0	E106	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch107	EMG	mV	monopolar EMG	2048.0	E107	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch108	EMG	mV	monopolar EMG	2048.0	E108	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch109	EMG	mV	monopolar EMG	2048.0	E109	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch110	EMG	mV	monopolar EMG	2048.0	E110	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch111	EMG	mV	monopolar EMG	2048.0	E111	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch112	EMG	mV	monopolar EMG	2048.0	E112	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch113	EMG	mV	monopolar EMG	2048.0	E113	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch114	EMG	mV	monopolar EMG	2048.0	E114	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch115	EMG	mV	monopolar EMG	2048.0	E115	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch116	EMG	mV	monopolar EMG	2048.0	E116	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch117	EMG	mV	monopolar EMG	2048.0	E117	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch118	EMG	mV	monopolar EMG	2048.0	E118	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch119	EMG	mV	monopolar EMG	2048.0	E119	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch120	EMG	mV	monopolar EMG	2048.0	E120	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch121	EMG	mV	monopolar EMG	2048.0	E121	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch122	EMG	mV	monopolar EMG	2048.0	E122	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch123	EMG	mV	monopolar EMG	2048.0	E123	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch124	EMG	mV	monopolar EMG	2048.0	E124	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch125	EMG	mV	monopolar EMG	2048.0	E125	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch126	EMG	mV	monopolar EMG	2048.0	E126	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch127	EMG	mV	monopolar EMG	2048.0	E127	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch128	EMG	mV	monopolar EMG	2048.0	E128	R1	Grid2	right vastus lateralis	8.0	500.0	20.0	n/a
Ch129	EMG	mV	monopolar EMG	2048.0	E129	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch130	EMG	mV	monopolar EMG	2048.0	E130	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch131	EMG	mV	monopolar EMG	2048.0	E131	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch132	EMG	mV	monopolar EMG	2048.0	E132	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch133	EMG	mV	monopolar EMG	2048.0	E133	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch134	EMG	mV	monopolar EMG	2048.0	E134	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch135	EMG	mV	monopolar EMG	2048.0	E135	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch136	EMG	mV	monopolar EMG	2048.0	E136	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch137	EMG	mV	monopolar EMG	2048.0	E137	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch138	EMG	mV	monopolar EMG	2048.0	E138	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch139	EMG	mV	monopolar EMG	2048.0	E139	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch140	EMG	mV	monopolar EMG	2048.0	E140	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch141	EMG	mV	monopolar EMG	2048.0	E141	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch142	EMG	mV	monopolar EMG	2048.0	E142	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch143	EMG	mV	monopolar EMG	2048.0	E143	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch144	EMG	mV	monopolar EMG	2048.0	E144	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch145	EMG	mV	monopolar EMG	2048.0	E145	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch146	EMG	mV	monopolar EMG	2048.0	E146	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch147	EMG	mV	monopolar EMG	2048.0	E147	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch148	EMG	mV	monopolar EMG	2048.0	E148	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch149	EMG	mV	monopolar EMG	2048.0	E149	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch150	EMG	mV	monopolar EMG	2048.0	E150	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch151	EMG	mV	monopolar EMG	2048.0	E151	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch152	EMG	mV	monopolar EMG	2048.0	E152	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch153	EMG	mV	monopolar EMG	2048.0	E153	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch154	EMG	mV	monopolar EMG	2048.0	E154	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch155	EMG	mV	monopolar EMG	2048.0	E155	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch156	EMG	mV	monopolar EMG	2048.0	E156	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch157	EMG	mV	monopolar EMG	2048.0	E157	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch158	EMG	mV	monopolar EMG	2048.0	E158	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch159	EMG	mV	monopolar EMG	2048.0	E159	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch160	EMG	mV	monopolar EMG	2048.0	E160	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch161	EMG	mV	monopolar EMG	2048.0	E161	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch162	EMG	mV	monopolar EMG	2048.0	E162	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch163	EMG	mV	monopolar EMG	2048.0	E163	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch164	EMG	mV	monopolar EMG	2048.0	E164	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch165	EMG	mV	monopolar EMG	2048.0	E165	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch166	EMG	mV	monopolar EMG	2048.0	E166	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch167	EMG	mV	monopolar EMG	2048.0	E167	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch168	EMG	mV	monopolar EMG	2048.0	E168	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch169	EMG	mV	monopolar EMG	2048.0	E169	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch170	EMG	mV	monopolar EMG	2048.0	E170	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch171	EMG	mV	monopolar EMG	2048.0	E171	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch172	EMG	mV	monopolar EMG	2048.0	E172	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch173	EMG	mV	monopolar EMG	2048.0	E173	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch174	EMG	mV	monopolar EMG	2048.0	E174	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch175	EMG	mV	monopolar EMG	2048.0	E175	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch176	EMG	mV	monopolar EMG	2048.0	E176	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch177	EMG	mV	monopolar EMG	2048.0	E177	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch178	EMG	mV	monopolar EMG	2048.0	E178	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch179	EMG	mV	monopolar EMG	2048.0	E179	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch180	EMG	mV	monopolar EMG	2048.0	E180	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch181	EMG	mV	monopolar EMG	2048.0	E181	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch182	EMG	mV	monopolar EMG	2048.0	E182	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch183	EMG	mV	monopolar EMG	2048.0	E183	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch184	EMG	mV	monopolar EMG	2048.0	E184	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch185	EMG	mV	monopolar EMG	2048.0	E185	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch186	EMG	mV	monopolar EMG	2048.0	E186	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch187	EMG	mV	monopolar EMG	2048.0	E187	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch188	EMG	mV	monopolar EMG	2048.0	E188	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch189	EMG	mV	monopolar EMG	2048.0	E189	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch190	EMG	mV	monopolar EMG	2048.0	E190	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch191	EMG	mV	monopolar EMG	2048.0	E191	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch192	EMG	mV	monopolar EMG	2048.0	E192	R1	Grid3	right vastus lateralis	8.0	500.0	20.0	n/a
Ch193	EMG	mV	monopolar EMG	2048.0	E193	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch194	EMG	mV	monopolar EMG	2048.0	E194	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch195	EMG	mV	monopolar EMG	2048.0	E195	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch196	EMG	mV	monopolar EMG	2048.0	E196	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch197	EMG	mV	monopolar EMG	2048.0	E197	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch198	EMG	mV	monopolar EMG	2048.0	E198	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch199	EMG	mV	monopolar EMG	2048.0	E199	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch200	EMG	mV	monopolar EMG	2048.0	E200	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch201	EMG	mV	monopolar EMG	2048.0	E201	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch202	EMG	mV	monopolar EMG	2048.0	E202	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch203	EMG	mV	monopolar EMG	2048.0	E203	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch204	EMG	mV	monopolar EMG	2048.0	E204	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch205	EMG	mV	monopolar EMG	2048.0	E205	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch206	EMG	mV	monopolar EMG	2048.0	E206	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch207	EMG	mV	monopolar EMG	2048.0	E207	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch208	EMG	mV	monopolar EMG	2048.0	E208	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch209	EMG	mV	monopolar EMG	2048.0	E209	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch210	EMG	mV	monopolar EMG	2048.0	E210	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch211	EMG	mV	monopolar EMG	2048.0	E211	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch212	EMG	mV	monopolar EMG	2048.0	E212	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch213	EMG	mV	monopolar EMG	2048.0	E213	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch214	EMG	mV	monopolar EMG	2048.0	E214	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch215	EMG	mV	monopolar EMG	2048.0	E215	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch216	EMG	mV	monopolar EMG	2048.0	E216	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch217	EMG	mV	monopolar EMG	2048.0	E217	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch218	EMG	mV	monopolar EMG	2048.0	E218	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch219	EMG	mV	monopolar EMG	2048.0	E219	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch220	EMG	mV	monopolar EMG	2048.0	E220	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch221	EMG	mV	monopolar EMG	2048.0	E221	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch222	EMG	mV	monopolar EMG	2048.0	E222	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch223	EMG	mV	monopolar EMG	2048.0	E223	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch224	EMG	mV	monopolar EMG	2048.0	E224	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch225	EMG	mV	monopolar EMG	2048.0	E225	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch226	EMG	mV	monopolar EMG	2048.0	E226	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
Ch227	EMG	mV	monopolar EMG	2048.0	E227	R1	Grid4	right vastus lateralis	8.0	500.0	20.0	n/a
